"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Agropecuária","11000176.04108797","11393750.543817539","11578121.868752658","11642876.650768109","11866929.032248367","12099762.02486797","11266887.145806894","11435337.276566558","11598543.347808285","11782355.368504671","12126317.365754038","12637855.033757161","12842921.86496362","13490778.777389828","14130407.25713455","14250491.136896456","14197553.03271721","13433318.703675989","13689057.173873093","13948466.874250581","14299016.032994535","14167152.371299375","14046295.822052956","14068762.777637776","14147457.514456414","14431856.44984752","14597670.34999992","14389266.624960417","14300090.658205591","14316766.98625539","14508165.47361483","14912079.615227109","15529517.284357797","15693656.190055076"
"Resíduos","1017656.2071200361","1059885.5243779556","1104123.0493841046","1151314.4260654042","1207679.558771023","1271454.9262904173","1341605.2913704405","1408725.1556001594","1486409.4174930607","1572974.0768040488","1667505.4409257364","1763172.0548270834","1858561.5998515713","1949645.0823783984","2001278.693203628","2071509.0544993961","2163649.788384774","2186791.8127989443","2221499.3939349097","2344903.1007844103","2396292.651009345","2474141.4889047644","2487436.7556350124","2645929.804643387","2728156.2952414043","2817164.794816688","2889673.846145757","2940103.9875296773","3036770.5457441285","3084791.105560013","3149944.3403890966","3174773.2729898533","3153712.8184455065","3161797.1816959623"
"Mudança de Uso da Terra e Floresta","1757134.9835653056","1800457.4382059951","2255686.8794572772","1959735.4276450144","2201730.782645936","2665427.7133889124","2293634.8427156704","2313563.9103724877","2233693.75439079","2195783.5879979865","2007152.185568652","2093619.0577689372","2270997.2252053283","2975967.1413344215","2724381.2414342067","2225404.3485724316","1739112.6537467372","1403997.7011478767","1400223.8646772455","929984.2273564569","854012.8930404027","887905.5772509803","907294.0156232656","1072354.8138479507","941739.4236658016","1100116.717974897","1171104.8355865735","1011163.4384107522","1075773.9690685098","1491899.702296475","1395987.8498251708","1783614.0636812695","1800927.6304780242","1327814"
"Energia","548508.7353512493","550523.9331093846","534463.369895461","495789.6216269952","487688.5644712339","462969.45170762436","450689.51836645236","464227.19162417186","473212.63285793323","485954.79554244626","500594.21401808347","530526.4379787892","560203.5860991123","549920.6757116092","588728.3350858721","669300.2052520677","637804.0233078193","621108.2474930456","627137.3399210715","674683.8221744411","613269.2230019245","562553.8305672749","576975.1185173272","550647.4426597767","564118.9311324881","572117.4013316598","550955.4570940653","559860.7877220378","588912.6391825468","587263.4794494024","571191.8283471823","556341.2565506177","543975.6105926326","550212.4277187187"
"Processos Industriais","11392.862426638603","12001.899484276772","11639.355564594269","12393.035862326622","12521.397931933403","12196.161382481456","12898.814076422714","12086.385245323181","11929.167593121529","12605.87332251668","13974.226872924715","12108.965887013823","12626.880243241787","14930.525411844254","15715.229172930121","15712.418290495872","18803.7408663854","19648.097478985786","18565.215111210942","17390.01664620638","18505.05607314408","19442.75948062539","17425.582168519497","17742.817018926144","16941.88402099698","16523.885928235948","17195.232483964413","17565.703333973885","17250.138430692255","16320.251081574708","16115.688181623816","20037.364183355123","19433.682584114373","18878.333994928747"
