"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Agropecuária","389692791.5020001","402777885.8789654","410686840.58176434","415364294.591632","424763124.91930324","428742751.426533","402811338.90803874","411064701.5478028","417172552.35061604","422559916.29332685","437486011.20975167","453881074.9072474","467517365.1412834","497155681.7407372","517665333.0021631","518167574.71331984","517521174.6228444","502349412.9163651","511333615.0374986","517180182.44172335","534203369.2753487","538672742.69699","536497974.74622333","541942085.3332913","546401478.3695457","551584098.7142919","562829421.6409655","561738764.4460795","560190321.5292363","562625609.2111292","576172699.0331535","597532211.9188707","617800840.176115","631176930.8380091"
"Energia","191682433.5316589","197049396.6392863","200809151.94645274","205636365.4558657","214201515.6021514","229955312.31349805","248257559.7797415","263589041.03730318","272255021.8889802","283619043.6180767","289907826.7023984","299244772.8115945","298120474.29113716","290308478.7509905","306210146.4500571","317948267.4422079","321621086.4837617","335953738.14890575","353910480.20717657","342028659.88680315","374835270.85414964","389078913.7519754","421627303.9047456","453067155.7482769","478723498.68986756","454635054.4972403","422083528.13496745","429733719.0096384","408164514.47797906","411668842.42028314","390211973.59612167","437167728.05547786","415510613.2742499","420067849.9121407"
"Mudança de Uso da Terra e Floresta","1379840825.7364643","1348641197.9641664","1645405117.0615215","1418821058.8848577","1586515968.1964417","1907168582.7513318","1591633841.3690429","1558140344.5595374","1449340118.398786","1413833725.5586932","1275418540.882904","1293826974.6400256","1396683210.7667253","1904757140.5451288","1708670471.5164146","1311964623.613108","879565989.6274624","614352083.2360879","596001610.8768563","218862527.2857319","159933049.32679033","168333513.98160583","184212050.549422","310584191.4836023","198213525.85648656","310844367.59487486","331044586.34992296","207677263.06731126","241058219.88113022","542144182.3514235","451658039.8988605","713548950.7469823","740974199.0846314","419389602"
"Resíduos","29976070.114247706","31232994.647121217","32510840.274131045","33890278.37370275","35563171.871237084","37424174.62518118","39513895.381130025","41425606.797294304","43674940.61272061","46223222.75974129","48970848.76648982","51704302.60097333","54502049.92218565","57177369.7128382","58617885.074839965","60651488.490111664","63216920.664851196","63924467.050058395","65182457.08195706","68507479.40319799","69944943.1574617","72312431.84214829","72770792.82974485","77267866.77282137","79568592.17462294","82111064.4856607","84020760.19040598","85467476.14623772","88228539.55647643","89552323.09456506","91397734.73561567","92106273.46172172","91302485.55034757","91529352.84496953"
"Processos Industriais","49774454.792720795","54864034.18519974","52780842.67488861","55101477.344703674","54380792.84131622","59420512.11977005","59008520.94911671","61438186.470360756","65575488.005254745","64325638.05767918","67574198.74689484","64596620.64720917","68598671.0273161","68921839.88687801","72176622.55307102","72216211.14147377","72585048.84530163","82559173.13189793","81274722.83374977","71733373.31864738","81047837.05096531","87379707.47097206","89533198.34327507","90514489.97781372","88895437.31590495","89009838.44546127","87170772.84288025","87780969.89501715","88704167.30938625","86382108.24317265","86923960.35504818","95882582.78842258","90390347.12809372","91203779.86781788"
