"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Transportes","85243594.38295174","89166353.2060585","89732468.6591587","93153920.83895493","97365511.51337814","107666456.74705124","117463978.41522849","124535301.31069183","130930824.02940369","128160319.7962408","129250385.5291853","131804150.47419739","134711144.77669764","131858650.26384783","140278089.79486275","141593345.82917887","145504131.24929702","151618647.98198733","157744838.79161566","155056124.4155414","173154517.02379313","189499463.99207765","206766581.9128107","213463587.77151757","218459043.80863166","204615808.12775218","202333838.95828238","204266764.021617","194549950.19710344","196484965.4502187","185490049.2118461","203988619.2410796","216877689.91709045","223783866.10066742"
"Industrial","37633320.433635205","39563266.65552096","41052967.04347183","41702302.49288693","42970237.35727158","46391715.344924614","51904318.83730602","54667278.81348139","55462356.569969386","60449975.68819511","63672536.24354902","63601048.1751295","64284627.374421395","61946465.04856567","62824602.55891662","66157575.17698315","67352000.60398684","74563754.3646092","74339067.79600236","70438888.56440598","77545137.31704457","84305201.48926577","81429466.86033139","82036539.33519821","82460082.5520184","77678613.99986844","72140838.0057524","73886295.62021203","70420246.24668068","68741290.47666262","64290702.684596494","70300585.40932885","71323302.05235271","67987813.1627985"
"Produção de combustíveis","25132956.48909664","23182485.282139778","23464838.729459763","24774395.749627113","25678304.044175625","25149201.514406145","26533118.36067581","29324682.135554314","30469507.638073444","30905183.940865517","33333986.450580236","35626105.16750263","34972480.84521653","35106697.2455891","37009874.08042136","43857742.086979076","42451590.56270424","43709743.3888062","46929812.49084111","52816164.660013095","50124253.80307841","48881847.17363882","51452843.70718014","55562765.20160782","59889214.228262484","58666103.866544485","57323686.7706306","56876292.08937144","56897026.27566576","58166175.797950506","56516632.42765236","54217383.90094733","54153896.06621432","55566035.098790765"
"Residencial","23745555.6015625","24081721.995117188","24587947.63671875","23929233.095703125","23668055.83203125","23599122.544921875","24108793.474609375","24220512.765625","24453860.8203125","25039888.8359375","25268890.953125","25654566.603515625","26063150.474609375","25293456.24609375","25760876.9765625","25684099.236328125","25753427.36328125","25715322.04556249","26001965.076377388","26018319.667701535","26205573.944228675","25515872.11260139","25586735.987739384","25086842.99955451","25559157.81781499","25845023.813083082","25697437.60934472","26326350.94414866","27103996.68285945","26824855.161565937","27703843.878588263","27432052.45024619","27232988.02576589","27086886.670049004"
"Agropecuária","10931254.634532958","11277702.584934246","11504202.47396192","12616485.42884487","13288269.833695278","14220735.878119402","14821468.987253744","15376417.427781746","14679259.164444305","15262891.203319907","14789794.150227368","16197485.703409314","15897660.774688601","16017277.531330615","15838569.054526925","15770060.536941145","15932254.266772382","16812511.771960497","18367093.160341546","17669277.317126587","18192804.573324267","17666930.75359944","18324825.500740524","18394912.439984635","19129781.021730237","19291714.69143837","18845893.066714697","20256051.93000116","19844776.927459665","20213301.754671376","20535647.619101763","20628084.876129966","21236681.91679515","22583133.789026238"
"Geração de eletricidade (serviço público)","6263788.183502197","7178619.166381836","7840640.852462769","6879253.505111694","7536857.124504089","9123170.48323059","10160017.482234955","11967982.611389935","12447474.418792963","19278354.417139173","19131144.284347534","21688554.78234005","17196698.85606575","16130056.356210709","20372241.1258564","20995293.711009637","20743223.210264873","19433793.08875745","26586024.38186374","16596882.192788206","26691165.53332883","20028173.936792262","35060546.63838579","55561686.68624331","70145258.95244823","65626519.94557459","42858360.98629717","45262014.38598426","36489116.273596376","38367665.12271525","33178715.27653682","57801939.7888754","21691661.450031795","19619547.048893802"
"Comercial","2214022.8575057983","2066631.1029968262","2113484.1428756714","1685126.581565857","1699234.4319152832","1691107.0160770416","1742808.4557247162","1844913.0585765839","1957809.1410427094","2096940.0791902542","2330378.2413492203","2484647.6095023155","2769188.764940262","2067903.0384140015","2215115.131453514","2127626.551900245","2180933.432566843","2258728.281516487","2130872.480051756","1712914.5890471283","1687059.6039932193","1846082.1298921942","2090085.4369883789","2035714.2064311772","2173939.5335504003","1999526.5472112393","1990016.5462555499","1951978.592195021","1983849.662065773","1997417.0850356466","1644174.7949633542","1939757.4230238243","2134133.318259833","2582415.130025053"
"Público","517940.94887185097","532616.6461369693","512602.4083433151","895647.763171196","1995045.4651801586","2113802.784767151","1523055.766708374","1651952.9142023623","1853930.1069412231","2425489.6571884155","2130710.8500347137","2188214.2959976196","2225522.4244976044","1887973.0209388733","1910777.7274570465","1762524.3128876486","1703525.7948882456","1841237.2257061189","1810806.0300830083","1720088.4801791634","1234759.0553585696","1335342.1641079057","916217.8605692792","925107.1077396509","907020.7754111591","911743.5057678864","893456.1916899119","907971.4261089171","875552.2125479098","873171.5714630949","852207.7028364857","859304.9658467233","860260.5277397227","858152.9118899372"
